y = 166.000 mm ,  x = 90 mm , tune 51.50%, Event Range  0
y = 165.933 mm ,  x = 90 mm , tune 51.50%, Event Range  1
y = 165.867 mm ,  x = 90 mm , tune 51.50%, Event Range  2
y = 165.800 mm ,  x = 90 mm , tune 51.50%, Event Range  3
y = 165.733 mm ,  x = 90 mm , tune 51.50%, Event Range  4
y = 165.667 mm ,  x = 90 mm , tune 51.50%, Event Range  5
y = 165.600 mm ,  x = 90 mm , tune 51.50%, Event Range  6
y = 165.533 mm ,  x = 90 mm , tune 51.50%, Event Range  7
y = 165.467 mm ,  x = 90 mm , tune 51.50%, Event Range  8
y = 165.400 mm ,  x = 90 mm , tune 51.50%, Event Range  9
y = 165.333 mm ,  x = 90 mm , tune 51.50%, Event Range  10
y = 165.267 mm ,  x = 90 mm , tune 51.50%, Event Range  11
y = 165.200 mm ,  x = 90 mm , tune 51.50%, Event Range  12
y = 165.133 mm ,  x = 90 mm , tune 51.50%, Event Range  13
y = 165.067 mm ,  x = 90 mm , tune 51.50%, Event Range  14
y = 165.000 mm ,  x = 90 mm , tune 51.50%, Event Range  15
y = 164.933 mm ,  x = 90 mm , tune 51.50%, Event Range  16
y = 164.867 mm ,  x = 90 mm , tune 51.50%, Event Range  17
y = 164.800 mm ,  x = 90 mm , tune 51.50%, Event Range  18
y = 164.733 mm ,  x = 90 mm , tune 51.50%, Event Range  19
y = 164.667 mm ,  x = 90 mm , tune 51.50%, Event Range  20
y = 164.600 mm ,  x = 90 mm , tune 51.50%, Event Range  21
y = 164.533 mm ,  x = 90 mm , tune 51.50%, Event Range  22
y = 164.467 mm ,  x = 90 mm , tune 51.50%, Event Range  23
y = 164.400 mm ,  x = 90 mm , tune 51.50%, Event Range  24
y = 164.333 mm ,  x = 90 mm , tune 51.50%, Event Range  25
y = 164.267 mm ,  x = 90 mm , tune 51.50%, Event Range  26
y = 164.200 mm ,  x = 90 mm , tune 51.50%, Event Range  27
y = 164.133 mm ,  x = 90 mm , tune 51.50%, Event Range  28
y = 164.067 mm ,  x = 90 mm , tune 51.50%, Event Range  29
y = 164.000 mm ,  x = 90 mm , tune 51.50%, Event Range  30
