start 11914, stop 12314, y = 166.50 mm, x  = 35 mm , tune = 51.50%
start 12334, stop 12695, y = 166.40 mm, x  = 35 mm , tune = 51.50%
start 12710, stop 13079, y = 166.30 mm, x  = 35 mm , tune = 51.50%
start 13092, stop 13401, y = 166.20 mm, x  = 35 mm , tune = 51.50%
start 13417, stop 13773, y = 166.10 mm, x  = 35 mm , tune = 51.50%
start 13780, stop 14171, y = 166.00 mm, x  = 35 mm , tune = 51.50%
start 14186, stop 14544, y = 165.90 mm, x  = 35 mm , tune = 51.50%
start 14564, stop 14942, y = 165.80 mm, x  = 35 mm , tune = 51.50%
start 14967, stop 15346, y = 165.70 mm, x  = 35 mm , tune = 51.50%
start 15374, stop 15764, y = 165.60 mm, x  = 35 mm , tune = 51.50%
start 15781, stop 16149, y = 165.50 mm, x  = 35 mm , tune = 51.50%
start 16172, stop 16608, y = 165.40 mm, x  = 35 mm , tune = 51.50%
start 16633, stop 17106, y = 165.30 mm, x  = 35 mm , tune = 51.50%
start 17121, stop 17521, y = 165.20 mm, x  = 35 mm , tune = 51.50%
start 17540, stop 17915, y = 165.10 mm, x  = 35 mm , tune = 51.50%
start 17932, stop 18302, y = 165.00 mm, x  = 35 mm , tune = 51.50%
start 18324, stop 18684, y = 164.90 mm, x  = 35 mm , tune = 51.50%
start 18698, stop 19070, y = 164.80 mm, x  = 35 mm , tune = 51.50%
start 19335, stop 19718, y = 164.70 mm, x  = 35 mm , tune = 51.50%
start 19738, stop 20123, y = 164.60 mm, x  = 35 mm , tune = 51.50%
start 20140, stop 20513, y = 164.50 mm, x  = 35 mm , tune = 51.50%
start 20539, stop 20922, y = 164.40 mm, x  = 35 mm , tune = 51.50%
start 20940, stop 21304, y = 164.30 mm, x  = 35 mm , tune = 51.50%
start 21317, stop 21641, y = 164.20 mm, x  = 35 mm , tune = 51.50%
start 21650, stop 22049, y = 164.10 mm, x  = 35 mm , tune = 51.50%
start 22064, stop 22546, y = 164.00 mm, x  = 35 mm , tune = 51.50%
start 22566, stop 22952, y = 163.90 mm, x  = 35 mm , tune = 51.50%
start 22981, stop 23417, y = 163.80 mm, x  = 35 mm , tune = 51.50%
start , stop , y = 163.70 mm, x  = 35 mm , tune = 51.50%
start , stop , y = 163.60 mm, x  = 35 mm , tune = 51.50%
start , stop , y = 163.50 mm, x  = 35 mm , tune = 51.50%
